base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
BASE SUR FUENLABRADA,69.55586264884994,1570,BASE SUR FUENLABRADA,209,B014,estres_1_base,Base,1.0,1.0,1936,20160,base,69,2,available,17.390873015873016,9.603174603174605
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H001,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H002,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H003,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital El Escorial,100.0,46,Hospital General Universitario Gregorio Marañón,3,H004,estres_1_base,Base,1.0,1.0,54,20160,hospital,69,2,available,0.496031746031746,0.26785714285714285
Hospital General Universitario Gregorio Marañón,85.97716034382493,0,Hospital Universitario de La Princesa,2,H005,estres_1_base,Base,1.0,1.0,7,20160,hospital,69,2,available,0.034722222222222224,0.034722222222222224
Hospital La Fuenfría,41.606612713313,0,Hospital Central de la Defensa Gómez Ulla,1,H006,estres_1_base,Base,1.0,1.0,33,20160,hospital,69,2,available,0.1636904761904762,0.1636904761904762
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H007,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario 12 de Octubre,66.15517722587148,0,Hospital Universitario Fundación Alcorcón,2,H008,estres_1_base,Base,1.0,1.0,20,20160,hospital,69,2,available,0.0992063492063492,0.0992063492063492
Hospital Universitario de Fuenlabrada,67.34135538040444,0,Hospital Universitario del Henares,1,H009,estres_1_base,Base,1.0,1.0,19,20160,hospital,69,2,available,0.09424603174603174,0.09424603174603174
Hospital Universitario de Torrejón,100.0,0,Hospital Universitario de Torrejón,0,H010,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario del Sureste,100.0,0,Hospital Universitario del Sureste,0,H011,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Infanta Cristina,100.0,41,Hospital La Fuenfría,1,H012,estres_1_base,Base,1.0,1.0,51,20160,hospital,69,2,available,0.4563492063492064,0.25297619047619047
Hospital Universitario Infanta Elena,25.640217434134726,0,Hospital El Escorial,2,H013,estres_1_base,Base,1.0,1.0,43,20160,hospital,69,2,available,0.21329365079365079,0.21329365079365079
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H014,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H015,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Infanta Sofía,76.37091556999339,0,Hospital General Universitario Gregorio Marañón,1,H016,estres_1_base,Base,1.0,1.0,14,20160,hospital,69,2,available,0.06944444444444445,0.06944444444444445
