base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
BASE ESTE CORREDOR,21.17112647564276,1759,BASE ESTE CORREDOR,119,B009,estres_1_base,Base,1.0,1.0,1784,20160,base,69,2,available,17.57440476190476,8.84920634920635
BASE ESTE CORREDOR,63.2398585992938,1134,BASE ESTE CORREDOR,86,B010,estres_1_base,Base,1.0,1.0,1124,20160,base,69,2,available,11.200396825396826,5.575396825396826
BASE SUR FUENLABRADA,35.33612429446408,2189,BASE SUR FUENLABRADA,225,B011,estres_1_base,Base,1.0,1.0,2184,20160,base,69,2,available,21.691468253968253,10.833333333333334
BASE SUR FUENLABRADA,33.145546409229915,2288,BASE SUR FUENLABRADA,246,B012,estres_1_base,Base,1.0,1.0,2258,20160,base,69,2,available,22.549603174603174,11.200396825396826
BASE SUR FUENLABRADA,29.339702273568346,1982,BASE SUR FUENLABRADA,218,B013,estres_1_base,Base,1.0,1.0,1980,20160,base,69,2,available,19.65277777777778,9.821428571428571
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H001,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H002,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital El Escorial,100.0,58,Hospital General Universitario Gregorio Marañón,3,H003,estres_1_base,Base,1.0,1.0,54,20160,hospital,69,2,available,0.5555555555555556,0.26785714285714285
Hospital General Universitario Gregorio Marañón,85.97716034382493,0,Hospital Universitario de La Princesa,2,H004,estres_1_base,Base,1.0,1.0,7,20160,hospital,69,2,available,0.034722222222222224,0.034722222222222224
Hospital La Fuenfría,41.606612713313,0,Hospital Central de la Defensa Gómez Ulla,1,H005,estres_1_base,Base,1.0,1.0,33,20160,hospital,69,2,available,0.1636904761904762,0.1636904761904762
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H006,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario 12 de Octubre,66.15517722587148,0,Hospital Universitario Fundación Alcorcón,2,H007,estres_1_base,Base,1.0,1.0,20,20160,hospital,69,2,available,0.0992063492063492,0.0992063492063492
Hospital Universitario de Fuenlabrada,67.34135538040444,0,Hospital Universitario del Henares,1,H008,estres_1_base,Base,1.0,1.0,19,20160,hospital,69,2,available,0.09424603174603174,0.09424603174603174
Hospital Universitario de Torrejón,100.0,0,Hospital Universitario de Torrejón,0,H009,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario del Sureste,100.0,0,Hospital Universitario del Sureste,0,H010,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Infanta Cristina,100.0,51,Hospital La Fuenfría,1,H011,estres_1_base,Base,1.0,1.0,51,20160,hospital,69,2,available,0.5059523809523809,0.25297619047619047
Hospital Universitario Infanta Elena,25.640217434134726,0,Hospital El Escorial,2,H012,estres_1_base,Base,1.0,1.0,43,20160,hospital,69,2,available,0.21329365079365079,0.21329365079365079
Hospital Universitario Infanta Sofía,76.37091556999339,0,Hospital General Universitario Gregorio Marañón,1,H013,estres_1_base,Base,1.0,1.0,14,20160,hospital,69,2,available,0.06944444444444445,0.06944444444444445
Hospital Universitario Infanta Sofía,68.57416905930423,0,Hospital Virgen de la Torre,1,H014,estres_1_base,Base,1.0,1.0,17,20160,hospital,69,2,available,0.08432539682539683,0.08432539682539683
Hospital Universitario José Germain,91.65126544524207,0,Hospital Universitario Fundación Alcorcón,1,H015,estres_1_base,Base,1.0,1.0,8,20160,hospital,69,2,available,0.03968253968253968,0.03968253968253968
Hospital Universitario La Paz,40.07105432747502,0,Hospital El Escorial,2,H016,estres_1_base,Base,1.0,1.0,35,20160,hospital,69,2,available,0.1736111111111111,0.1736111111111111
Hospital Universitario Príncipe de Asturias,100.0,0,Hospital Universitario Príncipe de Asturias,0,H017,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H018,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H019,estres_1_base,Base,1.0,1.0,0,20160,hospital,69,2,available,0.0,0.0
Hospital Universitario Ramón y Cajal,32.84942831467925,0,Hospital General Universitario Gregorio Marañón,2,H020,estres_1_base,Base,1.0,1.0,39,20160,hospital,69,2,available,0.19345238095238096,0.19345238095238096
BASE NOROESTE,34.89072608145322,1353,BASE NOROESTE,151,B001,estres_1_base,Base,1.0,1.0,1358,20160,base,70,3,available,13.447420634920634,6.736111111111111
BASE NOROESTE,56.17230570445463,1485,BASE NOROESTE,163,B002,estres_1_base,Base,1.0,1.0,1510,20160,base,70,3,available,14.856150793650794,7.490079365079365
BASE NORTE CAPITAL,48.00248935956655,3181,BASE NORTE CAPITAL,344,B003,estres_1_base,Base,1.0,1.0,3216,20160,base,70,3,available,31.73115079365079,15.95238095238095
BASE NORTE CAPITAL,100.0,3190,BASE NORTE CAPITAL,346,B004,estres_1_base,Base,1.0,1.0,3210,20160,base,70,3,available,31.746031746031743,15.922619047619047
BASE NORTE CAPITAL,45.06378901919747,3228,BASE NORTE CAPITAL,367,B005,estres_1_base,Base,1.0,1.0,3346,20160,base,70,3,available,32.60912698412699,16.59722222222222
BASE NORTE CAPITAL,100.0,3291,BASE NORTE CAPITAL,350,B006,estres_1_base,Base,1.0,1.0,3354,20160,base,70,3,available,32.961309523809526,16.636904761904763
