escenario_pretty,bloque_horas,cola_media,p10,p90
Alto,188.0,11.0,3.7750000000000004,19.450000000000003
Alto,192.0,5.0625,0.0,11.550000000000004
Alto,196.0,8.05,1.975,20.850000000000005
Alto,200.0,16.05,5.45,27.15000000000002
Alto,204.0,36.9,13.0,61.62500000000001
Alto,208.0,40.275,16.375,65.0
Alto,212.0,31.3625,11.425,51.2
Alto,216.0,8.425,1.425,16.025000000000006
Alto,220.0,5.0625,0.0,13.875000000000002
Alto,224.0,13.225,5.375,24.775
Alto,228.0,20.95,10.025,38.25
Alto,232.0,16.3375,7.4750000000000005,26.075000000000017
Alto,236.0,9.15,0.9500000000000001,17.025000000000006
Alto,240.0,3.375,0.47500000000000003,7.4250000000000025
Alto,244.0,6.025,1.975,9.525
Alto,248.0,20.225,11.675,29.300000000000004
Alto,252.0,38.3375,15.2,63.77500000000003
Alto,256.0,34.0875,16.475,51.675000000000004
Alto,260.0,18.1125,3.2,32.85000000000001
Alto,264.0,5.2125,0.9750000000000001,9.525
Alto,268.0,5.325,0.47500000000000003,11.575000000000001
Alto,272.0,11.6875,4.975,19.20000000000001
Alto,276.0,23.025,10.325000000000001,40.525000000000006
Alto,280.0,22.1,9.2,34.47500000000001
Alto,284.0,18.5875,6.15,33.2
Alto,288.0,5.7375,0.22500000000000003,13.075000000000005
Alto,292.0,5.4875,0.75,9.875000000000009
Alto,296.0,17.4875,9.675,23.35000000000001
Alto,300.0,30.0125,8.75,49.62500000000001
Alto,304.0,31.975,13.025,53.5
Alto,308.0,16.15,6.2250000000000005,25.600000000000005
Alto,312.0,3.4375,0.0,9.900000000000002
Alto,316.0,5.55,1.0,14.25
Alto,320.0,15.75,4.15,30.925000000000004
Alto,324.0,31.9,12.725,47.95
Alto,328.0,27.775,12.925,42.250000000000014
Alto,332.0,18.5,3.875,43.150000000000006
Muy alto,0.0,0.0,0.0,0.0
Muy alto,4.0,0.0,0.0,0.0
Muy alto,8.0,0.0,0.0,0.0
Muy alto,12.0,1.5125,0.22500000000000003,3.0500000000000007
Muy alto,16.0,6.225,2.975,9.550000000000004
Muy alto,20.0,3.8875,1.0,6.950000000000003
Muy alto,24.0,2.1875,0.22500000000000003,3.8750000000000018
Muy alto,28.0,5.375,2.0,9.900000000000002
Muy alto,32.0,42.3125,25.1,57.2
Muy alto,36.0,152.4875,126.425,173.675
Muy alto,40.0,163.5625,138.15,186.525
Muy alto,44.0,114.8,98.7,132.9
Muy alto,48.0,65.3875,52.7,76.45
Muy alto,52.0,24.1125,10.275,37.625
Muy alto,56.0,10.0375,4.15,16.125
Muy alto,60.0,30.0625,18.0,39.400000000000006
Muy alto,64.0,64.825,43.975,88.72500000000002
Muy alto,68.0,80.4125,65.65,98.825
Muy alto,72.0,46.6,11.825,82.75
Muy alto,76.0,26.0625,10.0,47.97500000000001
Muy alto,80.0,22.675,9.25,37.85
Muy alto,84.0,21.85,3.85,39.725
Muy alto,88.0,12.0,4.95,19.575000000000003
Muy alto,92.0,12.525,2.225,22.37500000000002
Muy alto,96.0,8.65,1.7000000000000002,18.000000000000004
Muy alto,100.0,11.7375,6.225,21.85
Muy alto,104.0,46.5875,35.375,57.625
Muy alto,108.0,84.6375,58.5,108.10000000000002
Muy alto,112.0,70.225,40.15,101.575
Muy alto,116.0,43.225,13.175,71.35
Muy alto,120.0,13.5375,0.7000000000000001,31.075000000000003
Muy alto,124.0,4.875,1.925,8.825000000000005
Muy alto,128.0,21.275,12.25,29.6
Muy alto,132.0,66.2375,46.9,85.92500000000001
