escenario,bloque_dia,cola_media,cola_p10,cola_p90
Moderado,9.5,18.82272727272727,9.563636363636364,27.56363636363637
Moderado,5.0,19.973076923076924,10.8,33.39230769230769
Moderado,4.5,25.663636363636364,13.727272727272728,40.68181818181819
Moderado,4.0,2.957692307692308,0.6076923076923078,5.946153846153846
Moderado,3.5,2.0863636363636364,0.6181818181818182,4.000000000000002
Moderado,3.0,15.742307692307694,7.6000000000000005,29.669230769230783
Moderado,5.5,7.390909090909091,2.9545454545454546,13.427272727272728
Moderado,6.0,2.542307692307692,0.4384615384615385,4.56923076923077
Alto,9.5,15.9,7.663636363636364,23.91818181818182
Alto,14.0,21.75,5.65,46.11666666666667
Alto,12.0,11.846153846153845,5.015384615384615,17.707692307692312
Alto,12.5,23.868181818181817,10.3,35.836363636363636
Alto,13.0,11.953846153846154,4.823076923076923,19.346153846153847
Alto,13.5,23.05909090909091,10.081818181818182,35.4909090909091
Alto,7.5,23.85909090909091,12.136363636363637,37.13636363636364
Alto,7.0,14.8,5.561538461538462,25.992307692307698
Alto,6.5,18.87272727272727,12.2,27.24545454545455
Alto,0.0,0.0,0.0,0.0
Alto,2.0,48.68846153846154,31.392307692307693,74.95384615384616
Alto,0.5,0.15,0.0,0.36363636363636365
Alto,1.0,1.6038461538461537,0.6153846153846154,2.5384615384615383
Alto,1.5,22.154545454545453,13.627272727272727,29.97272727272728
Alto,4.0,33.465384615384615,17.66923076923077,43.915384615384646
Alto,4.5,7.368181818181819,4.236363636363636,11.090909090909092
Alto,5.0,8.603846153846153,3.9538461538461536,16.46923076923077
Alto,5.5,39.768181818181816,22.545454545454547,53.05454545454546
Alto,6.0,13.196153846153845,4.107692307692308,22.546153846153846
Alto,2.5,6.495454545454545,3.6727272727272724,10.745454545454544
Alto,3.0,3.6653846153846152,1.2230769230769232,8.761538461538462
Alto,3.5,45.07272727272728,32.20909090909091,60.91818181818183
Alto,11.5,17.504545454545458,10.809090909090909,31.481818181818184
Alto,11.0,13.134615384615383,7.023076923076924,19.80769230769231
Alto,10.5,28.831818181818182,15.036363636363637,48.154545454545456
Alto,8.0,9.934615384615384,4.976923076923077,13.307692307692314
Alto,10.0,7.469230769230769,3.292307692307692,11.546153846153848
Alto,8.5,27.254545454545458,11.1,39.37272727272728
Alto,9.0,19.569230769230767,8.861538461538462,29.32307692307693
Muy alto,0.0,0.0,0.0,0.0
Muy alto,0.5,1.4227272727272726,0.8818181818181818,2.190909090909091
Muy alto,1.0,3.9692307692307693,1.4230769230769231,6.261538461538462
Muy alto,1.5,103.03636363636363,85.84545454545454,120.45454545454545
Muy alto,2.0,85.79230769230769,69.7923076923077,98.95384615384616
Muy alto,2.5,25.28181818181818,15.354545454545455,33.32727272727273
Muy alto,3.0,57.00769230769231,38.43076923076923,72.8692307692308
Muy alto,3.5,20.395454545454548,8.081818181818182,33.81818181818182
Muy alto,4.0,10.553846153846154,4.707692307692308,15.776923076923085
Muy alto,4.5,63.50454545454545,45.554545454545455,74.90909090909093
Muy alto,5.0,28.157692307692308,11.376923076923077,45.46923076923077
Muy alto,5.5,46.43636363636364,35.07272727272728,58.972727272727276
Muy alto,6.0,53.496153846153845,31.230769230769234,78.1923076923077
Muy alto,6.5,23.913636363636364,12.581818181818182,39.70909090909091
Muy alto,7.0,27.003846153846155,12.700000000000001,39.753846153846155
Muy alto,7.5,37.413636363636364,22.963636363636365,55.88181818181818
Muy alto,8.0,20.076923076923077,9.23846153846154,35.353846153846156
Muy alto,8.5,49.695454545454545,30.972727272727273,69.90909090909092
Muy alto,9.0,39.323076923076925,24.492307692307694,59.64615384615385
Muy alto,9.5,36.095454545454544,25.854545454545455,46.727272727272734
Muy alto,10.0,40.72692307692308,23.50769230769231,50.0923076923077
Muy alto,10.5,31.854545454545455,19.51818181818182,50.154545454545456
Muy alto,11.0,25.103846153846156,11.015384615384617,44.60000000000002
Muy alto,11.5,36.95,25.78181818181818,46.19090909090909
Muy alto,12.0,25.088461538461537,11.723076923076924,41.330769230769235
Muy alto,12.5,37.595454545454544,25.363636363636363,50.3
Muy alto,13.0,35.46153846153847,24.392307692307693,52.59230769230769
Muy alto,13.5,34.28636363636364,23.3,52.70909090909092
Muy alto,14.0,51.958333333333336,18.05,76.15000000000002
